#RESOURCE=yCat_120590137
#Name: J/AcA/59/137
#Title: ASAS Galactic fundamental mode RR Lyrae stars (Szczygiel+, 2009)
#Table	J_AcA_59_137_table1:
#Name: J/AcA/59/137/table1
#Title: Fourier parameters for 1423 ASAS RRab stars
#Column	a0	(F9.6)	a0 Fourier parameter	[ucd=stat.fit.param]
#Column	a1	(F9.6)	a1 Fourier parameter	[ucd=stat.fit.param]
#Column	phi1	(F9.6)	{phi}1 Fourier parameter	[ucd=stat.fit.param]
#Column	a2	(F9.6)	a2 Fourier parameter	[ucd=stat.fit.param]
#Column	phi2	(F9.6)	{phi}2 Fourier parameter	[ucd=stat.fit.param]
#Column	a3	(F9.6)	a3 Fourier parameter	[ucd=stat.fit.param]
#Column	phi3	(F9.6)	{phi}3 Fourier parameter	[ucd=stat.fit.param]
#Column	a4	(F9.6)	a4 Fourier parameter	[ucd=stat.fit.param]
#Column	phi4	(F9.6)	{phi}4 Fourier parameter	[ucd=stat.fit.param]
#Column	a5	(F9.6)	a5 Fourier parameter	[ucd=stat.fit.param]
#Column	phi5	(F9.6)	{phi}5 Fourier parameter	[ucd=stat.fit.param]
#Column	a6	(F9.6)	a6 Fourier parameter	[ucd=stat.fit.param]
#Column	phi6	(F9.6)	{phi}6 Fourier parameter	[ucd=stat.fit.param]
#a0	a1	phi1	a2	phi2	a3	phi3	a4	phi4	a5	phi5	a6	phi6
#mag	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad
#---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------
11.888394	-0.059823	 0.605895	 0.034735	 5.389820	-0.011524	 5.941557	-0.016320	 6.130510	-0.023249	 4.678755	 0.011843	 4.645372
13.099593	-0.315649	 0.953694	-0.154345	 1.239072	 0.107951	 5.080316	-0.047483	 2.628387	 0.018804	 0.038857	 0.006751	 0.856430
12.796296	 0.341618	 4.388609	-0.117512	 1.526323	-0.041431	 1.778686	 0.023068	 4.959754	 0.021757	 0.629773	 0.013918	 1.473406
11.648672	 0.210366	 4.540181	 0.020370	 6.124905	 0.013119	 1.644267	-0.008680	 6.176638	-0.003998	 1.027874	 0.002476	 5.431802
14.199155	 0.267241	 3.949746	-0.139293	 1.104456	-0.109974	 1.343481	-0.054112	 2.212455	 0.021764	 5.269608	-0.038124	 1.620614
14.155888	 0.206473	 5.037398	 0.032274	 6.277845	-0.006599	 6.249364	 0.027665	 5.397562	 0.003813	 0.042584	 0.012093	 0.042988
11.842101	-0.343065	 0.957743	-0.174813	 1.127210	 0.110054	 4.681092	-0.059080	 2.304912	 0.032199	 5.373386	 0.025881	 6.239777
12.118090	 0.246720	 4.187185	-0.125051	 1.431787	 0.049341	 5.326700	 0.020723	 6.229017	 0.009491	 5.554155	 0.012742	 5.814598
13.423237	-0.285392	 0.843236	-0.145140	 0.927634	 0.092786	 4.714279	 0.061177	 5.135793	 0.018764	 0.034926	 0.021470	 6.281394
14.414911	 0.326979	 3.932927	 0.158798	 4.071002	-0.155476	 1.056430	 0.098802	 5.220208	-0.027148	 2.737411	-0.024448	 3.763817
